Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count
201501,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Deplaned,Other,International,G,"3,737"
201501,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Enplaned,Other,International,G,"3,032"
201501,Aeromexico,AM,Aeromexico,AM,International,Mexico,Deplaned,Other,International,A,"13,288"
201501,Aeromexico,AM,Aeromexico,AM,International,Mexico,Enplaned,Other,International,A,"11,600"
201501,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Other,International,A,"11,565"
201501,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Other,International,A,"11,102"
201501,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Other,International,G,"10,676"
201501,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Other,International,G,"10,248"
201501,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,International,G,"7,177"
201501,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,"5,248"
201501,Air France,AF,Air France,AF,International,Europe,Deplaned,Other,International,A,"7,675"
201501,Air France,AF,Air France,AF,International,Europe,Enplaned,Other,International,A,"7,294"
201501,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Other,International,G,"11,785"
201501,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Other,International,G,"12,973"
201501,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Other,International,A,"49,993"
201501,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Other,International,A,"48,121"
201501,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Deplaned,Other,International,A,"6,591"
201501,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Enplaned,Other,International,A,"5,331"
201501,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Other,International,G,"7,355"
201501,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Other,International,G,"6,336"
201501,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 2,D,"114,823"
201501,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 2,D,"107,237"
201501,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Other,International,A,"8,108"
201501,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Other,International,A,"6,423"
201501,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Other,International,A,"16,745"
201501,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Other,International,A,"15,889"
201501,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Other,International,A,"17,634"
201501,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Other,International,A,"16,513"
201501,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Other,International,A,"10,158"
201501,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,"11,307"
201501,China Eastern,MU,China Eastern,MU,International,Asia,Deplaned,Other,International,A,"5,761"
201501,China Eastern,MU,China Eastern,MU,International,Asia,Enplaned,Other,International,A,"3,807"
201501,China Southern,CZ,China Southern,CZ,International,Asia,Deplaned,Other,International,A,"2,774"
201501,China Southern,CZ,China Southern,CZ,International,Asia,Enplaned,Other,International,A,"2,291"
201501,Compass Airlines,CP,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,"34,910"
201501,Compass Airlines,CP,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,"33,583"
201501,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,"94,843"
201501,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,"94,713"
201501,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Thru / Transit,Other,Terminal 1,C,130
201501,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Other,International,G,"17,056"
201501,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Other,International,G,"17,261"
201501,Emirates ,EK,Emirates ,EK,International,Middle East,Deplaned,Other,International,A,"13,937"
201501,Emirates ,EK,Emirates ,EK,International,Middle East,Enplaned,Other,International,A,"12,687"
201501,Etihad Airways,EY,Etihad Airways,EY,International,Middle East,Deplaned,Other,International,A,"8,799"
201501,Etihad Airways,EY,Etihad Airways,EY,International,Middle East,Enplaned,Other,International,A,"6,059"
201501,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Low Fare,Terminal 1,B,"17,752"
201501,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Enplaned,Low Fare,Terminal 1,B,"17,933"
201501,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Deplaned,Other,International,A,"13,881"
201501,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Enplaned,Other,International,A,"11,530"
201501,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Other,International,A,"5,988"
201501,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Other,International,A,"5,729"
201501,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Deplaned,Low Fare,International,A,"46,995"
201501,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Enplaned,Low Fare,International,A,"46,785"
201501,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Other,International,A,"6,661"
201501,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Other,International,A,"6,222"
201501,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Other,International,A,"7,347"
201501,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Other,International,A,"6,135"
201501,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Other,International,G,"21,356"
201501,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Enplaned,Other,International,G,"19,898"
201501,Mesa Airlines,YV,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 1,B,"5,033"
201501,Mesa Airlines,YV,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 1,B,"4,204"
201501,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Other,International,A,"11,711"
201501,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Other,International,A,"11,202"
201501,Republic Airlines,RW,Republic Airlines,RW,Domestic,US,Enplaned,Other,Terminal 1,B,51
201501,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Deplaned,Other,International,G,"4,891"
201501,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Enplaned,Other,International,G,"4,251"
201501,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Other,International,G,"14,596"
201501,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Other,International,G,"12,480"
201501,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,"1,859"
201501,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,"1,807"
201501,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,"145,020"
201501,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,"141,096"
201501,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Deplaned,Other,International,G,"1,273"
201501,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Deplaned,Other,Terminal 3,F,"10,085"
201501,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Enplaned,Other,Terminal 3,F,"11,225"
201501,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Deplaned,Low Fare,Terminal 1,B,"124,934"
201501,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Enplaned,Low Fare,Terminal 1,B,"119,096"
201501,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Thru / Transit,Low Fare,Terminal 1,B,20
201501,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Low Fare,International,A,"3,734"
201501,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Low Fare,International,A,"3,578"
201501,Sun Country Airlines,SY,Sun Country Airlines,SY,International,Mexico,Deplaned,Low Fare,International,A,912
201501,Sun Country Airlines,SY,Sun Country Airlines,SY,International,Mexico,Enplaned,Low Fare,International,A,917
